n,f,ipc,pmiss,corrtype,mean(pctparan),mean(pctkaiser),mean(pctjolliffe),mean(pctproflik),mean(pctekc),na.rm
1000,3,5,0.5,tetrachoric,1,1,1,0.969,1,TRUE
1000,5,10,0.1,pearson,1,0.94,0,1,0.94,TRUE
1000,5,10,0.1,tetrachoric,1,0.844,0,0.649,0.844,TRUE
1000,5,10,0.25,pearson,1,1,0,0.996,1,TRUE
1000,5,10,0.25,tetrachoric,1,1,0.507,0.559,1,TRUE
1000,5,10,0.5,pearson,1,1,0,0.959,1,TRUE
1000,5,10,0.5,tetrachoric,1,1,0.994,0.532,1,TRUE
1000,5,3,0.1,pearson,1,1,0.185,0.994,1,TRUE
1000,5,3,0.1,tetrachoric,0.998,1,0.999,0.259,1,TRUE
1000,5,3,0.25,pearson,1,1,0.998,0.859,1,TRUE
1000,5,3,0.25,tetrachoric,1,1,1,0.16,1,TRUE
1000,5,3,0.5,pearson,1,1,1,0.554,1,TRUE
1000,5,3,0.5,tetrachoric,1,1,1,0.115,1,TRUE
1000,5,5,0.1,pearson,1,1,0,1,1,TRUE
1000,5,5,0.1,tetrachoric,1,1,0.608,0.514,1,TRUE
1000,5,5,0.25,pearson,1,1,0.681,0.97,1,TRUE
1000,5,5,0.25,tetrachoric,1,1,1,0.372,1,TRUE
1000,5,5,0.5,pearson,1,1,0.995,0.852,1,TRUE
1000,5,5,0.5,tetrachoric,1,1,1,0.326,1,TRUE
